"Repair","Asset","AssetID","StartDate","EndDate","Street","Number"
"Repair","Water Main","Wtr-Mn-34934","7/13/2024","7/13/2024","Arbor Hill Dr","2834"
"Repair","Water Main","Wtr-Mn-14944","7/13/2024","7/13/2024","Colonial Cir","129"
"Repair","Water Main","Wtr-Mn-52985","7/13/2024","7/13/2024","Oak View Dr","125"
"Repair","Water Main","Wtr-Mn-27407","7/12/2024","7/13/2024","Coronet Pl","2512"
"Repair","Water Main","Wtr-Mn-14365","7/14/2024","7/14/2024","First Ave","1609"
"Repair","Water Lateral","Srvc-75679","7/14/2024","7/14/2024","Gault St","5512"
"Repair","Water Lateral","Srvc-94890","7/12/2024","7/15/2024","Clint Dr","122"
"Repair","Water Main","Wtr-Mn-2414","7/15/2024","7/15/2024","Millsaps Ave","334"
"Repair","Water Hydrant","Fr-Hydrnt-8821","7/11/2024","7/15/2024","",""
"Repair","Water Lateral","Srvc-18578","7/15/2024","7/15/2024","Martin Luther King Jr Dr","2955"
"Repair","Water Main","Wtr-Mn-11193","7/15/2024","7/15/2024","S Denver St","399"
"Repair","Water Lateral","Srvc-2861","7/5/2024","7/15/2024","Euclid Ave","761"
"Repair","Water Main","Wtr-Mn-17","7/10/2024","7/15/2024","Watson Rd","16"
"Repair","Water Main","Wtr-Mn-21601","7/15/2024","7/15/2024","S Prentiss St","742"
"Repair","Water Main","Wtr-Mn-2363","7/14/2024","7/15/2024","Millsaps Ave","324"
"Repair","Water Main","Wtr-Mn-25321","7/15/2024","7/15/2024","Beechcrest Dr","255"
"Repair","Water Main","Wtr-Mn-14355","7/15/2024","7/15/2024","First Ave","1720"
"Repair","Water Main","Wtr-Mn-45904","7/9/2024","7/15/2024","East Ln","247"
"Repair","Water Main","Wtr-Mn-22958","7/15/2024","7/15/2024","Myer Ave","244"
"Repair","Water Main","Wtr-Mn-53577","7/11/2024","7/16/2024","",""
"Repair","Non-Asset","","7/16/2024","7/16/2024","Clubview Dr","5632"
"Repair","Water Main","Wtr-Mn-13629","7/16/2024","7/16/2024","Winnrose St","1228"
"Repair","Water Main","Wtr-Mn-55837","7/11/2024","7/16/2024","",""
"Repair","Water Lateral","Srvc-26063","7/14/2024","7/16/2024","Colonial Cir","128"
"Repair","Water Lateral","Srvc-18580","7/16/2024","7/16/2024","Martin Luther King Jr Dr","2521"
"Repair","Water Main","Wtr-Mn-20182","7/11/2024","7/16/2024","",""
"Repair","Non-Asset","","7/16/2024","7/16/2024","colonial circle","139"
"Repair","Water Main","Wtr-Mn-30097","7/8/2024","7/16/2024","E Hillsdale Dr","303"
"Repair","Water Main","Wtr-Mn-6635","7/11/2024","7/16/2024","W Cheryl Dr","4630"
"Repair","Water Main","Wtr-Mn-31956","7/12/2024","7/16/2024","Shady Cir","298"
"Repair","Water Main","Wtr-Mn-39068","7/11/2024","7/16/2024","",""
"Repair","Water Main","Wtr-Mn-56957","7/16/2024","7/16/2024","Kimbell Rd","4091"
"Repair","Water Lateral","Srvc-20774","7/16/2024","7/16/2024","Martin Luther King Jr Dr","2521"
"Repair","Water Main","Wtr-Mn-14588","7/11/2024","7/16/2024","",""
"Repair","Water Main","Wtr-Mn-14518","7/16/2024","7/16/2024","Draughn Dr","5539"
"Repair","Water Main","Wtr-Mn-20696","7/16/2024","7/16/2024","Warren St","3465"
"Repair","Water Main","Wtr-Mn-8356","7/10/2024","7/16/2024","Brown St","6212"
"Repair","Water Main","Wtr-Mn-8356","7/8/2024","7/16/2024","Brown St","6212"
"Repair","Water Main","Wtr-Mn-46897","7/11/2024","7/16/2024","",""
"Repair","Water Main","Wtr-Mn-46897","7/11/2024","7/16/2024","",""
"Repair","Water Main","Wtr-Mn-13616","7/16/2024","7/16/2024","Winnrose St","1118"
"Repair","Water Lateral","Srvc-12540","7/17/2024","7/17/2024","Heritage Hill Dr","2212"
"Repair","Water Lateral","Srvc-92083","7/17/2024","7/17/2024","Lyndon B Johnson Dr","6713"
"Repair","Non-Asset","","7/17/2024","7/17/2024","Saint Ann St","1436"
"Repair","Water Hydrant","Fr-Hydrnt-977","6/21/2024","7/17/2024","Hazel St","1304"
"Repair","Water Lateral","Srvc-73563","7/17/2024","7/17/2024","George Washington Dr","6535"
"Repair","Water Main","Wtr-Mn-11184","7/17/2024","7/17/2024","Kevin Garnett Ct","212"
"Repair","Water Lateral","Srvc-75665","7/17/2024","7/17/2024","Gault St","5440"
"Repair","Water Main","Wtr-Mn-44545","7/12/2024","7/17/2024","Mallory Dr","362"
"Repair","Water Main","Wtr-Mn-2490","7/17/2024","7/17/2024","E Fortification St","354"
"Repair","Non-Asset","","7/16/2024","7/17/2024","Hwy 80 W. Frontage Rd (Suit City)","4102"
"Repair","Non-Asset","","7/18/2024","7/18/2024","Eastover Dr","1510"
"Repair","Water Main","Wtr-Mn-48180","7/18/2024","7/18/2024","N Congress St","1388"
"Repair","Water Main","Wtr-Mn-4919","7/18/2024","7/18/2024","McCluer Rd","113"
"Repair","Water Main","Wtr-Mn-2382","6/21/2024","7/18/2024","Gillespie St","915"
"Repair","Water Main","Wtr-Mn-20809","7/18/2024","7/18/2024","Kolb Ave","168"
"Repair","Water Main","Wtr-Mn-57315","7/10/2024","7/18/2024","Presto Ln","192"
"Repair","Water Lateral","Srvc-73133","7/16/2024","7/18/2024","Beaver St","612"
"Repair","Water Lateral","Srvc-27917","7/18/2024","7/18/2024","Kolb Ave","109"
"Repair","Water Main","Wtr-Mn-8024","7/18/2024","7/18/2024","Eastparke Dr","14"
"Repair","Water Main","Wtr-Mn-33281","7/19/2024","7/19/2024","Gaddy Dr","227"
"Repair","Water Main","Wtr-Mn-166","7/19/2024","7/19/2024","P Holmes Rd","1253"
"Repair","Water Main","Wtr-Mn-21239","7/18/2024","7/19/2024","W Capitol St","3407"
"Repair","Water Main","Wtr-Mn-32647","7/19/2024","7/19/2024","Clinton Blvd","5844"
"Repair","Water Lateral","Srvc-73553","7/18/2024","7/19/2024","Queen Eleanor Ln","5422"
"Repair","Water Main","Wtr-Mn-52292","7/19/2024","7/19/2024","Old Jackson Rd","4250"
"Repair","Water Main","Wtr-Mn-14268","7/19/2024","7/19/2024","Tupelo St","1259"
"Repair","Water Lateral","Srvc-14930","7/20/2024","7/20/2024","Bailey Ave","1407"
"Repair","Water Main","Wtr-Mn-56902","7/20/2024","7/20/2024","Walker Rd","1288"
"Repair","Water Main","Wtr-Mn-1627","7/20/2024","7/20/2024","Woody Dr","1798"
"Repair","Water Lateral","Srvc-7571","7/20/2024","7/20/2024","Winchester St","1686"
"Repair","Water Main","Wtr-Mn-50859","7/20/2024","7/20/2024","Percy V Simpson Dr","2941"
"Repair","Water Main","Wtr-Mn-31959","7/22/2024","7/22/2024","Carmel Ave","269"
"Repair","Non-Asset","","7/22/2024","7/22/2024","Saint Andrews Dr.","209"
"Repair","Water Main","Wtr-Mn-27550","7/17/2024","7/22/2024","Creston Dr","865"
"Repair","Water Main","Wtr-Mn-10386","7/22/2024","7/22/2024","Brussels Dr","4267"
"Repair","Non-Asset","","7/22/2024","7/22/2024","Rose St","283"
"Repair","Water Hydrant","Fr-Hydrnt-1573","6/6/2024","7/22/2024","Meadowbrook Rd","1400"
"Repair","Water Lateral","Srvc-43838","7/16/2024","7/22/2024","Brookridge Dr","223"
"Repair","Water Main","Wtr-Mn-7679","7/18/2024","7/22/2024","Walker Ave","3933"
"Repair","Non-Asset","","7/17/2024","7/22/2024","Cypress Bend Blvd","312"
"Repair","Water Main","Wtr-Mn-8360","7/16/2024","7/22/2024","Winchester St","1674"
"Repair","Non-Asset","","7/17/2024","7/22/2024","Palm St.","937"
"Repair","Water Main","Wtr-Mn-37139","7/18/2024","7/22/2024","Meadow St","2417"
"Repair","Water Main","Wtr-Mn-39270","7/22/2024","7/22/2024","Maria Dr","1351"
"Repair","Water Main","Wtr-Mn-12283","7/22/2024","7/22/2024","Ridgewood Rd","5845"
"Repair","Water Main","Wtr-Mn-8336","7/20/2024","7/22/2024","Dogwood Dr","3963"
"Repair","Water Main","Wtr-Mn-26712","7/18/2024","7/22/2024","Carmel Ave","269"
"Repair","Water Main","Wtr-Mn-34716","7/18/2024","7/23/2024","Commerce St","869"
"Repair","Water Main","Wtr-Mn-8360","7/13/2024","7/23/2024","Winchester St","1674"
"Repair","Non-Asset","","7/23/2024","7/23/2024","Saint Andrews Dr.","209"
"Repair","Non-Asset","","7/23/2024","7/23/2024","Paradise Valley Ln","763"
"Repair","Water Main","Wtr-Mn-33396","7/23/2024","7/23/2024","Forest Park Dr","2261"
"Repair","Water Lateral","Srvc-57391","7/23/2024","7/23/2024","Queen Eleanor Ln","5228"
"Repair","Non-Asset","","7/23/2024","7/23/2024","Florence Ave","1539"
"Repair","Non-Asset","","7/24/2024","7/24/2024","Paden St","2580"
"Repair","Water Main","Wtr-Mn-33895","7/24/2024","7/24/2024","Paden St","2510"
"Repair","Water Main","Wtr-Mn-2697","7/11/2024","7/24/2024","",""
"Repair","Water Main","Wtr-Mn-54224","7/24/2024","7/24/2024","Warner Ave","3751"
"Repair","Water Main","Wtr-Mn-10481","7/11/2024","7/24/2024","",""
"Repair","Water Main","Wtr-Mn-2697","7/11/2024","7/24/2024","",""
"Repair","Water Main","Wtr-Mn-30096","7/11/2024","7/24/2024","",""
"Repair","Water Main","Wtr-Mn-39479","7/23/2024","7/24/2024","Springridge Rd","11784"
"Repair","Water Main","Wtr-Mn-2678","7/16/2024","7/25/2024","S Congress St","201"
"Repair","Non-Asset","","7/25/2024","7/25/2024","Poplar Blvd","939"
"Repair","Non-Asset","","7/25/2024","7/25/2024","Florence Ave","1528"
"Repair","Water Main","Wtr-Mn-4256","7/25/2024","7/25/2024","Poplar Blvd","939"
"Repair","Water Main","Wtr-Mn-20557","6/20/2024","7/25/2024","W Capitol St","201"
"Repair","Water Main","Wtr-Mn-56902","7/25/2024","7/25/2024","Clint Dr","122"
"Repair","Water Hydrant","Fr-Hydrnt-12251","7/25/2024","7/25/2024","Boling St","3672"
"Repair","Water Main","Wtr-Mn-50999","7/25/2024","7/25/2024","Cooper Rd","221"
"Repair","Water Main","Wtr-Mn-14518","7/25/2024","7/25/2024","Draughn Dr","5523"
"Repair","Non-Asset","","7/25/2024","7/26/2024","poplar","920"
"Repair","Non-Asset","","7/25/2024","7/26/2024","Claiborne Ave","504"
"Repair","Water Lateral","Srvc-94598","7/25/2024","7/26/2024","Richmond Grove Rd","6973"
"Repair","Non-Asset","","7/22/2024","7/26/2024","Rose St","126"
"Repair","Water Main","Wtr-Mn-14865","7/26/2024","7/26/2024","McNutt St","601"
"Repair","Non-Asset","","7/25/2024","7/26/2024","Myers Ave","244"
"Repair","Water Main","Wtr-Mn-46500","7/27/2024","7/27/2024","Dorothy Ln","695"
"Repair","Non-Asset","","7/29/2024","7/29/2024","Harry S. Truman Dr.","6845"
"Repair","Water Main","Wtr-Mn-8686","7/29/2024","7/29/2024","Old Canton Rd","2604"
"Repair","Non-Asset","","7/29/2024","7/29/2024","Claiborne Ave","404"
"Repair","Non-Asset","","7/29/2024","7/29/2024","Presidential Dr.","6748"
"Repair","Water Main","Wtr-Mn-52292","7/29/2024","7/29/2024","Old Jackson Rd","5126"
"Repair","Non-Asset","","7/29/2024","7/29/2024","Grand Ave","1502"
"Repair","Water Lateral","Srvc-12252","7/26/2024","7/29/2024","Eastparke Dr","4"
"Repair","Water Main","Wtr-Mn-27855","6/24/2024","7/29/2024","Corey Dr","3225"
"Repair","Water Main","Wtr-Mn-8686","7/29/2024","7/29/2024","Old Canton Rd","6220"
"Repair","Non-Asset","","7/29/2024","7/29/2024","Queen Catherine Ln","437"
"Repair","Non-Asset","","7/29/2024","7/29/2024","Claiborne Ave","520"
"Repair","Water Main","Wtr-Mn-17966","7/29/2024","7/29/2024","Magnolia Rd",""
"Repair","Non-Asset","","7/29/2024","7/29/2024","Mattox St.","5260"
"Repair","Water Main","Wtr-Mn-4264","7/17/2024","7/30/2024","Pinehurst Pl","1025"
"Repair","Water Main","Wtr-Mn-2045","7/30/2024","7/30/2024","Ivy St","1516"
"Repair","Water Lateral","Srvc-30275","7/30/2024","7/30/2024","Jackson West Blvd","134"
"Repair","Water Lateral","Srvc-56776","7/30/2024","7/30/2024","Highway 80 W","2825"
"Repair","Water Main","Wtr-Mn-14615","7/30/2024","7/30/2024","Buena Vista Ave","755"
"Repair","Non-Asset","","7/30/2024","7/30/2024","Broad St","526"
"Repair","Water Lateral","Srvc-51755","7/30/2024","7/30/2024","Redwood Cir","4359"
"Repair","Water Main","Wtr-Mn-35330","7/30/2024","7/30/2024","Riverside Dr","2213"
"Repair","Non-Asset","","7/30/2024","7/30/2024","Claiborne Ave","404"
"Repair","Water Main","Wtr-Mn-14809","7/31/2024","7/31/2024","Yazoo St","548"
"Repair","Non-Asset","","7/31/2024","7/31/2024","Camilla Dr.","3933"
"Repair","Water Main","Wtr-Mn-17966","7/29/2024","7/31/2024","Clinton Blvd","5602"
"Repair","Non-Asset","","7/30/2024","7/31/2024","Briarwood Dr.","975"
"Repair","Water Main","Wtr-Mn-13532","7/31/2024","7/31/2024","Saint Andrews Dr","209"
"Repair","Water Main","Wtr-Mn-57383","7/31/2024","7/31/2024","S McRaven Rd","1868"
"Repair","Water Main","Wtr-Mn-17703","6/25/2024","8/1/2024","Forest Hill Rd","5256"
"Repair","Water Lateral","Srvc-74229","8/1/2024","8/1/2024","Andover Dr","5158"
"Repair","Water Lateral","Srvc-24378","8/1/2024","8/1/2024","Wingfield Ct","130"
"Repair","Non-Asset","","8/1/2024","8/1/2024","US HWY 80","2365"
"Repair","Water Main","Wtr-Mn-56312","8/1/2024","8/1/2024","Killarney St","1127"
"Repair","Water Main","Wtr-Mn-49660","8/2/2024","8/2/2024","Briarwood Dr","1170"
"Repair","Water Hydrant","Fr-Hydrnt-1982","7/11/2024","8/2/2024","",""
"Repair","Water Main","Wtr-Mn-37657","8/2/2024","8/2/2024","Pyle Ave","4304"
"Repair","Water Lateral","Srvc-72650","8/2/2024","8/2/2024","Lyndon B Johnson Dr","6643"
"Repair","Water Main","Wtr-Mn-42262","8/2/2024","8/2/2024","Turtle Creek Dr","215"
"Repair","Water Lateral","Srvc-65819","8/2/2024","8/2/2024","Springfield Cir","241"
"Repair","Water Main","Wtr-Mn-37478","8/1/2024","8/2/2024","Langley Ave","1126"
"Repair","Water Lateral","Srvc-15022","8/2/2024","8/2/2024","Maple St","165"
"Repair","Water Main","Wtr-Mn-13616","8/2/2024","8/2/2024","Winnrose St","1123"
"Repair","Water Lateral","Srvc-93499","8/3/2024","8/3/2024","E County Line Rd",""
"Repair","Water Main","Wtr-Mn-34713","8/3/2024","8/3/2024","McNutt St","601"
"Repair","Water Lateral","Srvc-69279","8/4/2024","8/4/2024","Queen Mary Ln","5570"
"Repair","Non-Asset","","8/4/2024","8/4/2024","Taylor St","414"
"Repair","Water Main","Wtr-Mn-27406","8/4/2024","8/4/2024","Coronet Pl","2439"
"Repair","Water Lateral","Srvc-69279","8/4/2024","8/4/2024","Queen Mary Ln","5576"
"Repair","Non-Asset","","8/4/2024","8/4/2024","Robinson St","1400"
"Repair","Water Main","Wtr-Mn-13159","8/4/2024","8/4/2024","Taylor St","412"
"Repair","Water Main","Wtr-Mn-30250","8/5/2024","8/5/2024","Dundee Ln","3415"
"Repair","Water Hydrant","Fr-Hydrnt-11383","8/2/2024","8/5/2024","Gibralter Dr","1427"
"Repair","Non-Asset","","7/25/2024","8/5/2024","Sandlewood Dr.","4551"
"Repair","Water Main","Wtr-Mn-48221","8/5/2024","8/5/2024","Birchwood Dr","1011"
"Repair","Water Main","Wtr-Mn-56058","8/5/2024","8/5/2024","Gibralter Dr","1414"
"Repair","Water Main","Wtr-Mn-34062","8/5/2024","8/5/2024","Gibralter Dr","1541"
"Repair","Non-Asset","","8/5/2024","8/5/2024","willie ave","5823"
"Repair","Water Lateral","Srvc-6809","8/5/2024","8/5/2024","Crane Blvd","4157"
"Repair","Water Main","Wtr-Mn-40179","8/1/2024","8/5/2024","Wiggins Rd","1664"
"Repair","Non-Asset","","8/5/2024","8/5/2024","Buena Vista Ave","525"
"Repair","Non-Asset","","7/25/2024","8/5/2024","Meagan Dr.","2236"
"Repair","Water Main","Wtr-Mn-47697","8/5/2024","8/6/2024","N Flag Chapel Rd","163"
"Repair","Water Main","Wtr-Mn-14825","7/2/2024","8/6/2024","S State St","929"
"Repair","Water Main","Wtr-Mn-34087","7/30/2024","8/6/2024","Glen Erin St","1030"
"Repair","Water Main","Wtr-Mn-46106","8/2/2024","8/6/2024","Brookleigh Dr","5249"
"Repair","Non-Asset","","8/6/2024","8/6/2024","Queen Mary Ln","5576"
"Repair","Water Lateral","Srvc-78878","8/6/2024","8/6/2024","Moss Forest Pl","4"
"Repair","Water Lateral","Srvc-14930","8/5/2024","8/6/2024","Bailey Ave","1407"
"Repair","Water Main","Wtr-Mn-56763","7/30/2024","8/6/2024","Elmwood Pl","153"
"Repair","Water Main","Wtr-Mn-29396","8/6/2024","8/6/2024","Glenn St","2633"
"Repair","Water Lateral","Srvc-92710","7/30/2024","8/6/2024","Camilla Dr","3933"
"Repair","Water Main","Wtr-Mn-31361","8/6/2024","8/7/2024","Locksley Dr","4631"
"Repair","Water Main","Wtr-Mn-49210","8/5/2024","8/7/2024","Carley Dr","3464"
"Repair","Water Meter","1","7/30/2024","8/7/2024","Oak Creek Dr.","4932"
"Repair","Water Main","Wtr-Mn-1568","8/7/2024","8/7/2024","Wood Glen Dr","1780"
"Repair","Water Meter","1","7/30/2024","8/7/2024","Oak Brook Dr.","1611"
"Repair","Water Main","Wtr-Mn-26461","8/5/2024","8/7/2024","Gene Dr","2717"
"Repair","Water Main","Wtr-Mn-30418","8/7/2024","8/7/2024","Huntly Dr","205"
"Repair","Water Main","Wtr-Mn-38385","8/7/2024","8/7/2024","W Woodcrest Dr","146"
"Repair","Water Meter","1","7/25/2024","8/7/2024","Queen Catherine Ln.","430"
"Repair","Water Meter","1","7/25/2024","8/7/2024","Greymont Ave","1054"
"Repair","Water Hydrant","Fr-Hydrnt-1431","8/6/2024","8/7/2024","Eastover Dr","1510"
"Repair","Water Main","Wtr-Mn-41904","8/7/2024","8/7/2024","Heritage Pl","321"
"Repair","Water Lateral","Srvc-25225","8/7/2024","8/7/2024","William McKinley Cir","219"
"Repair","Water Lateral","Srvc-89368","8/6/2024","8/7/2024","",""
"Repair","Water Main","Wtr-Mn-39007","8/7/2024","8/8/2024","J R Lynch St","2103"
"Repair","Water Main","Wtr-Mn-34321","8/5/2024","8/8/2024","Reddix St","1320"
"Repair","Water Main","Wtr-Mn-3022","8/8/2024","8/8/2024","N Congress St","1031"
"Repair","Water Main","Wtr-Mn-56755","8/7/2024","8/8/2024","Chestnut Cv","118"
"Repair","Water Main","Wtr-Mn-34028","8/8/2024","8/8/2024","Revere St","2647"
"Repair","Water Main","Wtr-Mn-52802","8/8/2024","8/8/2024","Brantley Dr","111"
"Repair","Water Main","Wtr-Mn-37742","8/8/2024","8/8/2024","Ridgeland Dr","3316"
"Repair","Water Meter","1","8/2/2024","8/9/2024","Meagan Dr.","1054"
"Repair","Water Lateral","Srvc-37503","8/8/2024","8/9/2024","Northgate Blvd","280"
"Repair","Water Main","Wtr-Mn-49659","8/9/2024","8/9/2024","Forest Park Dr","2231"
"Repair","Water Lateral","Srvc-27999","8/9/2024","8/9/2024","Longino St","148"
"Repair","Water Lateral","Srvc-67948","8/9/2024","8/9/2024","Plummer Cir","157"
"Repair","Non-Asset","","8/9/2024","8/9/2024","McNutt","671"
"Repair","Water Lateral","Srvc-11606","8/9/2024","8/9/2024","McWillie Dr","4657"
"Repair","Water Meter","1","8/2/2024","8/9/2024","Meagan Dr","2236"
"Repair","Water Lateral","Srvc-4420","8/7/2024","8/9/2024","Launcelot Rd","719"
"Repair","Water Main","Wtr-Mn-38684","8/8/2024","8/9/2024","Whitestone Rd","6172"
"Repair","Water Main","Wtr-Mn-36268","8/9/2024","8/9/2024","Jamestown Ct","115"
"Repair","Non-Asset","","8/10/2024","8/10/2024","Commerce Street","801"
"Repair","Water Main","Wtr-Mn-55592","8/11/2024","8/11/2024","Missouri St","3504"
"Repair","Water Main","Wtr-Mn-52062","8/5/2024","8/11/2024","Oak Forest Dr","2875"
"Repair","Water Main","Wtr-Mn-52064","8/10/2024","8/11/2024","Woodburn St","1414"
"Repair","Water Main","Wtr-Mn-21716","8/12/2024","8/12/2024","Ferntree Dr","1250"
"Repair","Water Lateral","Srvc-22743","8/12/2024","8/12/2024","Oak Brook Dr","1603"
"Repair","Water Meter","1","8/12/2024","8/12/2024","Wandering way","2130"
"Repair","Water Main","Wtr-Mn-55945","8/12/2024","8/12/2024","Scottdale Dr","109"
"Repair","Water Lateral","Srvc-10","8/12/2024","8/13/2024","Raymond Rd.","100"
"Repair","Water Main","Wtr-Mn-54306","8/7/2024","8/13/2024","Fondren Pl","508"
"Repair","Water Lateral","Srvc-19816","8/13/2024","8/13/2024","E Silas Brown St","630"
"Repair","Water Main","Wtr-Mn-55291","8/14/2024","8/14/2024","White Oak St","241"
"Repair","Water Main","Wtr-Mn-10464","8/14/2024","8/14/2024","Camilla Dr","3764"
"Repair","Water Main","Wtr-Mn-5489","8/14/2024","8/14/2024","N Mill St","2928"
"Repair","Water Lateral","Srvc-38916","8/5/2024","8/14/2024","Bristol Blvd","175"
"Repair","Water Lateral","Srvc-22749","8/9/2024","8/14/2024","Oak Brook Dr.","1611"
"Repair","Water Main","Wtr-Mn-28998","8/13/2024","8/14/2024","Valley North Blvd","315"
"Repair","Water Lateral","Srvc-10","8/9/2024","8/14/2024","Woodmont Dr","4815"
"Repair","Water Main","Wtr-Mn-28998","8/14/2024","8/14/2024","Cumberland Pl","5130"
"Repair","Water Main","Wtr-Mn-53416","8/14/2024","8/14/2024","N Mill St","2928"
"Repair","Water Main","Wtr-Mn-51026","8/15/2024","8/15/2024","Fleetwood Dr","3350"
"Repair","Water Main","Wtr-Mn-46401","8/15/2024","8/15/2024","Owens Rd","2772"
"Repair","Water Main","Wtr-Mn-10672","8/13/2024","8/15/2024","Delaware Ave","139"
"Repair","Water Main","Wtr-Mn-21505","6/21/2024","8/15/2024","Rosemont Ave","1043"
"Repair","Water Main","Wtr-Mn-11416","8/12/2024","8/15/2024","E Silas Brown St","630"
"Repair","Water Main","Wtr-Mn-34702","8/7/2024","8/15/2024","River Thames Rd","5482"
"Repair","Water Main","Wtr-Mn-34713","8/15/2024","8/15/2024","McNutt St","601"
"Repair","Water Main","Wtr-Mn-29288","8/15/2024","8/15/2024","Needle Cove Dr","103"
"Repair","Water Main","Wtr-Mn-3160","8/15/2024","8/15/2024","McNutt St","698"
"Repair","Water Main","Wtr-Mn-51699","8/16/2024","8/16/2024","Windy Hill Cv","163"
"Repair","Water Main","Wtr-Mn-57285","8/14/2024","8/16/2024","Woodburn St","1630"
"Repair","Water Main","Wtr-Mn-33287","8/15/2024","8/16/2024","Gary Rd","8836"
"Repair","Water Main","Wtr-Mn-4137","8/16/2024","8/16/2024","Lyncrest Ave","1217"
"Repair","Water Lateral","Srvc-88549","8/14/2024","8/16/2024","Sharon Hills Dr","507"
"Repair","Water Main","Wtr-Mn-1097","8/14/2024","8/16/2024","Greymont Ave","1048"
"Repair","Water Main","Wtr-Mn-9924","8/16/2024","8/17/2024","Wood St","1518"
"Repair","Water Main","Wtr-Mn-5169","8/17/2024","8/18/2024","Council Cir","4318"
"Repair","Water Main","Wtr-Mn-27474","8/12/2024","8/19/2024","Hines Ave","3740"
"Repair","Water Main","Wtr-Mn-312","7/1/2024","8/19/2024","High St","929"
"Repair","Water Main","Wtr-Mn-20960","8/6/2024","8/19/2024","McDowell Cir","2585"
"Repair","Water Main","Wtr-Mn-166","8/7/2024","8/19/2024","P Holmes Rd","1201"
"Repair","Water Lateral","Srvc-90095","8/16/2024","8/19/2024","Raymond Rd","2425"
"Repair","Water Main","Wtr-Mn-51027","8/17/2024","8/19/2024","Fleetwood Dr","3361"
"Repair","Water Main","Wtr-Mn-25573","8/19/2024","8/19/2024","Highland Place Dr","255"
"Repair","Water Main","Wtr-Mn-1622","8/19/2024","8/19/2024","E McDowell Rd","851"
"Repair","Water Main","Wtr-Mn-20656","8/20/2024","8/20/2024","Saint Andrews Dr","169"
"Repair","Water Main","Wtr-Mn-24396","8/15/2024","8/20/2024","Linde Rd","1525"
"Repair","Water Meter","1","8/7/2024","8/20/2024","Corey Dr.","3251"
"Repair","Water Main","Wtr-Mn-33030","8/16/2024","8/20/2024","Reddix St",""
"Repair","Non-Asset","","8/19/2024","8/20/2024","Bailey Ave","1399"
"Repair","Water Main","Wtr-Mn-23557","8/19/2024","8/20/2024","Industrial Dr","160"
"Repair","Water Main","Wtr-Mn-7894","8/14/2024","8/21/2024","I 55 S","3583"
"Repair","Water Main","Wtr-Mn-19033","8/1/2024","8/21/2024","Highland Ter","1810"
"Repair","Water Main","Wtr-Mn-16","8/21/2024","8/21/2024","River Park Dr","145"
"Repair","Water Main","Wtr-Mn-23934","8/21/2024","8/21/2024","Lemly Ave","130"
"Repair","Water Main","Wtr-Mn-16","7/11/2024","8/22/2024","",""
"Repair","Water Main","Wtr-Mn-16","8/5/2024","8/22/2024","Pinehaven Dr","112"
"Repair","Water Main","Wtr-Mn-20884","8/22/2024","8/22/2024","Barrett Ave","1425"
"Repair","Water Main","Wtr-Mn-37623","8/21/2024","8/22/2024","Hillmont Dr","730"
"Repair","Water Main","Wtr-Mn-21519","8/20/2024","8/22/2024","University Blvd","1027"
"Repair","Water Lateral","Srvc-59087","8/14/2024","8/22/2024","Daniel Lake Blvd","450"
"Repair","Non-Asset","","8/16/2024","8/22/2024","Evans Dr","109"
"Repair","Water Main","Wtr-Mn-156","8/16/2024","8/22/2024","S Jefferson St","607"
"Repair","Water Main","Wtr-Mn-2987","8/18/2024","8/23/2024","Mississippi St","328"
"Repair","Water Main","Wtr-Mn-1370","8/25/2024","8/25/2024","Claiborne Ave","534"
"Repair","Water Main","Wtr-Mn-35920","8/23/2024","8/26/2024","N West St","1011"
"Repair","Water Main","Wtr-Mn-8161","6/9/2024","8/26/2024","",""
"Repair","Water Main","Wtr-Mn-53695","8/22/2024","8/26/2024","Lost Lake Way","3920"
"Repair","Water Main","Wtr-Mn-20763","8/26/2024","8/27/2024","Old Spanish Trl","104"
"Repair","Non-Asset","","8/14/2024","8/27/2024","Robinson st","4136"
"Repair","Water Main","Wtr-Mn-34481","7/22/2024","8/27/2024","Forest Park Dr","2201"
"Repair","Water Lateral","Srvc-58108","8/26/2024","8/27/2024","Wingfield Dr","1548"
"Repair","Water Main","Wtr-Mn-29660","8/28/2024","8/28/2024","Hickory Cv","111"
"Repair","Water Main","Wtr-Mn-4257","8/28/2024","8/28/2024","Kenwood Pl","1217"
"Repair","Water Main","Wtr-Mn-55291","8/29/2024","8/29/2024","White Oak St","261"
"Repair","Water Lateral","Srvc-928","8/10/2024","8/29/2024","Cypress Cove Rd","909"
"Repair","Water Main","Wtr-Mn-39374","8/29/2024","8/29/2024","S Valley Falls Rd","958"
"Repair","Water Lateral","Srvc-42888","8/21/2024","8/30/2024","Brannan Ave","201"
"Repair","Water Main","Wtr-Mn-42072","8/14/2024","8/30/2024","Country Club Dr","3001"
"Repair","Water Main","Wtr-Mn-47797","8/9/2024","8/30/2024","Queen Eleanor Ln","5231"
"Repair","Water Main","Wtr-Mn-21672","8/27/2024","8/30/2024","Lake Forest Dr","6677"
"Repair","Water Lateral","Srvc-29943","8/30/2024","8/30/2024","Shirley Ave","1217"
"Repair","Water Main","Wtr-Mn-32606","8/24/2024","8/30/2024","Yarbrough St","5760"
"Repair","Water Lateral","Srvc-72463","8/28/2024","8/30/2024","Willaneel Dr","750"
